,original_title,runtime_minutes,genres,averagerating,numvotes,main_genre,subgenre_1,subgenre_2,primary_name,primary_profession,id,movie,production_budget,domestic_gross,worldwide_gross,profit,roi,release_date_x
0,Foodfight!,91.0,"Action,Animation,Comedy",1.9,8248,Action,Animation,Comedy,Lawrence Kasanoff,"producer,writer,director",26,Foodfight!,45000000.0,0.0,73706.0,-44926294,0.1637911111111111,2013-05-07
2,The Overnight,79.0,"Comedy,Mystery",6.1,14828,Comedy,Mystery,,Patrick Brice,"director,writer,actor",21,The Overnight,200000.0,1109808.0,1165996.0,965996,582.998,2015-06-19
3,On The Road,124.0,"Adventure,Drama,Romance",6.1,37886,Adventure,Drama,Romance,Walter Salles,"director,producer,writer",17,On The Road,25000000.0,720828.0,9313302.0,-15686698,37.253208,2012-12-21
6,The Secret Life Of Walter Mitty,114.0,"Adventure,Comedy,Drama",7.3,275300,Adventure,Comedy,Drama,Ben Stiller,"producer,actor,director",37,The Secret Life Of Walter Mitty,91000000.0,58236838.0,187861183.0,96861183,206.44086043956045,2013-12-25
7,A Walk Among The Tombstones,114.0,"Action,Crime,Drama",6.5,105116,Action,Crime,Drama,Scott Frank,"writer,producer,director",67,A Walk Among The Tombstones,28000000.0,26017685.0,62108587.0,34108587,221.81638214285715,2014-09-19
8,Jurassic World,124.0,"Action,Adventure,Sci-Fi",7.0,539338,Action,Adventure,Sci-Fi,Colin Trevorrow,"writer,producer,director",34,Jurassic World,215000000.0,652270625.0,1648854864.0,1433854864,766.9092390697674,2015-06-12
9,The Rum Diary,119.0,"Comedy,Drama",6.2,94787,Comedy,Drama,,Bruce Robinson,"actor,writer,director",16,The Rum Diary,45000000.0,13109815.0,21544732.0,-23455268,47.87718222222222,2011-10-27
10,The Three Stooges,92.0,"Comedy,Family",5.1,28570,Comedy,Family,,Peter Farrelly,"producer,writer,director",4,The Three Stooges,30000000.0,44338224.0,54052249.0,24052249,180.17416333333333,2012-04-13
11,Tangled,100.0,"Adventure,Animation,Comedy",7.8,366366,Adventure,Animation,Comedy,Byron Howard,"animation_department,director,actor",15,Tangled,260000000.0,200821936.0,586477240.0,326477240,225.5681692307692,2010-11-24
12,John Carter,132.0,"Action,Adventure,Sci-Fi",6.6,241792,Action,Adventure,Sci-Fi,Andrew Stanton,"writer,actor,producer",14,John Carter,275000000.0,73058679.0,282778100.0,7778100,102.8284,2012-03-09
13,Dinner For Schmucks,114.0,Comedy,5.9,91546,Comedy,,,Jay Roach,"producer,director,writer",51,Dinner For Schmucks,69000000.0,73026337.0,86796502.0,17796502,125.79203188405796,2010-07-30
14,The A-Team,117.0,"Action,Adventure,Thriller",6.8,235256,Action,Adventure,Thriller,Joe Carnahan,"producer,writer,director",32,The A-Team,110000000.0,77222099.0,177241171.0,67241171,161.12833727272726,2010-06-11
15,The Possession,92.0,"Horror,Mystery,Thriller",5.9,53649,Horror,Mystery,Thriller,Ole Bornedal,"writer,director,producer",81,The Possession,14000000.0,49130588.0,82925064.0,68925064,592.3218857142857,2012-08-31
16,Real Steel,127.0,"Action,Drama,Family",7.1,283534,Action,Drama,Family,Shawn Levy,"producer,director,actor",31,Real Steel,110000000.0,85463309.0,263880341.0,153880341,239.8912190909091,2011-10-06
