,original_title,genres,averagerating,numvotes,main_genre,subgenre_1,subgenre_2,primary_name,primary_profession,id,movie,production_budget,domestic_gross,worldwide_gross,profit,roi,release_date
1,The Overnight,"Comedy,Mystery",6.1,14828,Comedy,Mystery,,Patrick Brice,"director,writer,actor",21,The Overnight,200000.0,1109808.0,1165996.0,965996,582.998,2015-06-19
2,Jurassic World,"Action,Adventure,Sci-Fi",7.0,539338,Action,Adventure,Sci-Fi,Colin Trevorrow,"writer,producer,director",34,Jurassic World,215000000.0,652270625.0,1648854864.0,1433854864,766.9092390697674,2015-06-12
3,Spy,"Action,Crime,Drama",6.6,78,Action,Crime,Drama,Alexander Klymko,"producer,camera_department,sound_department",83,Spy,65000000.0,110825712.0,232585748.0,167585748,357.82422769230766,2011-08-09
5,Spy,"Action,Comedy,Crime",7.0,213908,Action,Comedy,Crime,Paul Feig,"actor,producer,director",83,Spy,65000000.0,110825712.0,232585748.0,167585748,357.82422769230766,2011-08-09
7,The Rum Diary,"Comedy,Drama",6.2,94787,Comedy,Drama,,Bruce Robinson,"actor,writer,director",16,The Rum Diary,45000000.0,13109815.0,21544732.0,-23455268,47.87718222222222,2011-10-27
8,The Three Stooges,"Comedy,Family",5.1,28570,Comedy,Family,,Peter Farrelly,"producer,writer,director",4,The Three Stooges,30000000.0,44338224.0,54052249.0,24052249,180.17416333333333,2012-04-13
9,Tangled,"Adventure,Animation,Comedy",7.8,366366,Adventure,Animation,Comedy,Byron Howard,"animation_department,director,actor",15,Tangled,260000000.0,200821936.0,586477240.0,326477240,225.5681692307692,2010-11-24
10,John Carter,"Action,Adventure,Sci-Fi",6.6,241792,Action,Adventure,Sci-Fi,Andrew Stanton,"writer,actor,producer",14,John Carter,275000000.0,73058679.0,282778100.0,7778100,102.8284,2012-03-09
11,The Possession,"Horror,Mystery,Thriller",5.9,53649,Horror,Mystery,Thriller,Ole Bornedal,"writer,director,producer",81,The Possession,14000000.0,49130588.0,82925064.0,68925064,592.3218857142857,2012-08-31
12,Real Steel,"Action,Drama,Family",7.1,283534,Action,Drama,Family,Shawn Levy,"producer,director,actor",31,Real Steel,110000000.0,85463309.0,263880341.0,153880341,239.8912190909091,2011-10-06
13,The Giver,"Drama,Romance,Sci-Fi",6.5,104999,Drama,Romance,Sci-Fi,Phillip Noyce,"producer,director,writer",2,The Giver,25000000.0,45090374.0,66540205.0,41540205,266.16082,2014-08-11
14,Toy Story 3,"Adventure,Animation,Comedy",8.3,682218,Adventure,Animation,Comedy,Lee Unkrich,"editorial_department,editor,miscellaneous",47,Toy Story 3,200000000.0,415004880.0,1068879522.0,868879522,534.439761,2010-06-17
15,Lincoln,"Biography,Drama,History",7.4,228701,Biography,Drama,History,Steven Spielberg,"producer,writer,director",73,Lincoln,65000000.0,182207973.0,273346281.0,208346281,420.53274,2012-11-16
16,Before We Go,"Comedy,Drama,Romance",6.8,45181,Comedy,Drama,Romance,Chris Evans,"actor,producer,director",52,Before We Go,3000000.0,37151.0,483938.0,-2516062,16.131266666666665,2015-05-21
