,genre_ids,id_x,popularity,release_date_x,vote_average,vote_count,id_y,movie,production_budget,domestic_gross,worldwide_gross,profit,roi,genre,main_genre,subgenre_1,subgenre_2,subgenre_3,subgenre_4,subgenre_5,subgenre_6
32,"['12', '28', '53']",375588,39.975,2018-11-21,5.8,1194,39,Robin Hood,210000000.0,105487148.0,322459006.0,112459006,153.55190761904765,"['Adventure', 'Action', 'Thriller']",Adventure,Action,Thriller,,,,
238,['18'],489991,4.11,2018-01-20,6.8,19,93,Rust,250000.0,0.0,0.0,-250000,0.0,['Drama'],Drama,,,,,,
389,"['18', '35', '10749']",499722,6.359,2018-04-30,4.9,60,2,The Other Woman,40000000.0,83911193.0,195111193.0,155111193,487.7779825,"['Drama', 'Comedy', 'Romance']",Drama,Comedy,Romance,,,,
462,['18'],451915,17.409000000000002,2018-10-12,7.6,500,95,Beautiful Boy,25000000.0,7634767.0,13031424.0,-11968576,52.125696,['Drama'],Drama,,,,,,
482,"['878', '28']",335983,44.007,2018-10-05,6.6,6206,3,Venom,116000000.0,213511408.0,853628605.0,737628605,735.8867284482758,"['ScienceFiction', 'Action']",ScienceFiction,Action,,,,,
490,"['28', '12', '14', '878']",284054,44.14,2018-02-16,7.4,12365,42,Black Panther,200000000.0,700059566.0,1348258224.0,1148258224,674.129112,"['Action', 'Adventure', 'Fantasy', 'ScienceFiction']",Action,Adventure,Fantasy,ScienceFiction,,,
496,"['18', '53', '12', '27']",425972,12.552,2018-04-19,6.3,724,73,Cargo,4200000.0,0.0,313230.0,-3886770,7.457857142857143,"['Drama', 'Thriller', 'Adventure', 'Horror']",Drama,Thriller,Adventure,Horror,,,
644,"['53', '27']",460019,14.354,2018-04-13,6.0,2005,91,Truth Or Dare,3500000.0,41411015.0,95127344.0,91627344,2717.9241142857145,"['Thriller', 'Horror']",Thriller,Horror,,,,,
651,['18'],482712,7.912999999999999,2018-09-07,6.4,63,4,The Apparition,17000000.0,4936819.0,10637281.0,-6362719,62.57224117647059,['Drama'],Drama,,,,,,
726,"['10751', '80', '18']",495193,10.503,2018-03-02,7.0,138,30,Benji,500000.0,31559560.0,31559560.0,31059560,6311.912,"['Family', 'Crime', 'Drama']",Family,Crime,Drama,,,,
952,"['53', '10749', '12']",429300,16.785999999999998,2018-06-01,6.7,1264,89,Adrift,35000000.0,31445011.0,57897191.0,22897191,165.4205457142857,"['Thriller', 'Romance', 'Adventure']",Thriller,Romance,Adventure,,,,
1133,"['80', '18', '53']",504172,33.83,2018-12-14,6.5,1584,100,The Mule,50000000.0,103804407.0,170857676.0,120857676,341.715352,"['Crime', 'Drama', 'Thriller']",Crime,Drama,Thriller,,,,
1170,"['53', '80', '28']",497814,12.188,2018-05-13,5.9,290,19,Breaking In,6000000.0,46840590.0,51411620.0,45411620,856.8603333333334,"['Thriller', 'Crime', 'Action']",Thriller,Crime,Action,,,,
1219,"['18', '36', '35']",429197,20.125,2018-12-25,7.1,1213,100,Vice,60000000.0,47836282.0,70883171.0,10883171,118.13861833333333,"['Drama', 'History', 'Comedy']",Drama,History,Comedy,,,,
1372,"['35', '18']",455980,18.5,2018-06-15,6.8,1297,50,Tag,28000000.0,54730625.0,77026186.0,49026186,275.0935214285714,"['Comedy', 'Drama']",Comedy,Drama,,,,,
1375,"['12', '18']",399360,24.536,2018-08-17,5.9,1167,79,Alpha,51000000.0,35851379.0,99624873.0,48624873,195.3428882352941,"['Adventure', 'Drama']",Adventure,Drama,,,,,
1376,"['35', '10749', '18']",502682,11.514,2018-05-18,6.0,301,43,Book Club,10000000.0,68566296.0,91113683.0,81113683,911.13683,"['Comedy', 'Romance', 'Drama']",Comedy,Romance,Drama,,,,
1559,['35'],454293,12.786,2018-09-28,6.0,775,16,Night School,29000000.0,77339130.0,103008792.0,74008792,355.2027310344827,['Comedy'],Comedy,,,,,,
1561,"['28', '53', '27', '14', '9648']",460885,16.24,2018-09-13,6.2,618,71,Mandy,6000000.0,1214525.0,1427656.0,-4572344,23.794266666666665,"['Action', 'Thriller', 'Horror', 'Fantasy', 'Mystery']",Action,Thriller,Horror,Fantasy,Mystery,,
1641,"['18', '53']",397722,11.241,2018-03-09,6.3,398,47,Thoroughbreds,5000000.0,3072605.0,3187302.0,-1812698,63.74604,"['Drama', 'Thriller']",Drama,Thriller,,,,,
1658,"['18', '12']",407890,9.307,2018-04-06,6.9,133,13,Lean On Pete,8000000.0,1163056.0,2455027.0,-5544973,30.6878375,"['Drama', 'Adventure']",Drama,Adventure,,,,,
1685,"['18', '14', '27', '10749']",437583,2.519,2018-02-23,7.6,38,81,November,250000.0,191862.0,191862.0,-58138,76.7448,"['Drama', 'Fantasy', 'Horror', 'Romance']",Drama,Fantasy,Horror,Romance,,,
1689,"['12', '28', '14']",299536,80.773,2018-04-27,8.3,13948,7,Avengers: Infinity War,300000000.0,678815482.0,2048134200.0,1748134200,682.7114,"['Adventure', 'Action', 'Fantasy']",Adventure,Action,Fantasy,,,,
1690,['12'],338952,48.508,2018-11-16,6.9,4870,60,Fantastic Beasts: The Crimes Of Grindelwald,200000000.0,159555901.0,652220086.0,452220086,326.110043,['Adventure'],Adventure,,,,,,
1691,"['10751', '16', '35', '14', '12']",404368,48.057,2018-11-21,7.2,2626,3,Ralph Breaks The Internet,175000000.0,201091711.0,524283695.0,349283695,299.59068285714284,"['Family', 'Animation', 'Comedy', 'Fantasy', 'Adventure']",Family,Animation,Comedy,Fantasy,Adventure,,
1692,"['28', '12', '878', '35']",363088,44.729,2018-07-06,7.0,6290,41,Ant-Man And The Wasp,130000000.0,216648740.0,623144660.0,493144660,479.3420461538462,"['Action', 'Adventure', 'ScienceFiction', 'Comedy']",Action,Adventure,ScienceFiction,Comedy,,,
1693,"['28', '12', '878']",424783,43.078,2018-12-21,6.5,2425,62,Bumblebee,102000000.0,127195589.0,465195589.0,363195589,456.07410686274505,"['Action', 'Adventure', 'ScienceFiction']",Action,Adventure,ScienceFiction,,,,
1694,"['12', '14']",428078,40.095,2018-12-14,6.0,1751,4,Mortal Engines,100000000.0,15951040.0,85287417.0,-14712583,85.287417,"['Adventure', 'Fantasy']",Adventure,Fantasy,,,,,
1695,"['28', '35', '12']",383498,38.894,2018-05-10,7.5,8773,15,Deadpool 2,110000000.0,324591735.0,786680557.0,676680557,715.1641427272727,"['Action', 'Comedy', 'Adventure']",Action,Comedy,Adventure,,,,
1696,"['28', '12', '14']",297802,38.102,2018-12-21,6.8,6155,36,Aquaman,160000000.0,335061807.0,1146894640.0,986894640,716.80915,"['Action', 'Adventure', 'Fantasy']",Action,Adventure,Fantasy,,,,
1697,"['18', '10402']",424694,37.197,2018-11-02,8.1,7629,84,Bohemian Rhapsody,55000000.0,216303339.0,894985342.0,839985342,1627.2460763636363,"['Drama', 'Music']",Drama,Music,,,,,
1698,"['28', '12', '16', '10751']",260513,36.286,2018-06-15,7.6,6354,44,Incredibles 2,200000000.0,608581744.0,1242520711.0,1042520711,621.2603555000001,"['Action', 'Adventure', 'Animation', 'Family']",Action,Adventure,Animation,Family,,,
1699,"['18', '35']",490132,36.284,2018-11-16,8.3,3499,71,Green Book,23000000.0,85080171.0,322034439.0,299034439,1400.149734782609,"['Drama', 'Comedy']",Drama,Comedy,,,,,
1700,"['18', '10749', '10402']",332562,35.848,2018-10-05,7.5,5676,5,A Star Is Born,36000000.0,215288866.0,433449571.0,397449571,1204.026586111111,"['Drama', 'Romance', 'Music']",Drama,Romance,Music,,,,
1701,"['28', '12', '878']",351286,34.958,2018-06-22,6.5,5995,13,Jurassic World: Fallen Kingdom,170000000.0,417719760.0,1305772799.0,1135772799,768.1016464705882,"['Action', 'Adventure', 'ScienceFiction']",Action,Adventure,ScienceFiction,,,,
1702,"['18', '36']",339380,32.624,2018-12-25,7.4,225,81,On The Basis Of Sex,20000000.0,24622687.0,38073377.0,18073377,190.366885,"['Drama', 'History']",Drama,History,,,,,
1703,"['53', '28', '18']",458594,32.476,2018-09-07,6.5,716,21,Peppermint,25000000.0,35418723.0,51800758.0,26800758,207.203032,"['Thriller', 'Action', 'Drama']",Thriller,Action,Drama,,,,
1704,"['28', '878', '53', '27']",345940,31.397,2018-08-10,5.9,2896,94,The Meg,178000000.0,145443742.0,529530715.0,351530715,297.4891657303371,"['Action', 'ScienceFiction', 'Thriller', 'Horror']",Action,ScienceFiction,Thriller,Horror,,,
1705,"['53', '80', '9648', '18']",446021,31.32,2018-10-12,6.8,1365,10,Bad Times At The El Royale,32000000.0,17839115.0,29204379.0,-2795621,91.263684375,"['Thriller', 'Crime', 'Mystery', 'Drama']",Thriller,Crime,Mystery,Drama,,,
1706,"['14', '10751', '35']",400650,30.419,2018-12-19,6.6,1457,45,Mary Poppins Returns,130000000.0,171958438.0,341528518.0,211528518,262.7142446153846,"['Fantasy', 'Family', 'Comedy']",Fantasy,Family,Comedy,,,,
1707,"['12', '878']",333339,30.029,2018-03-29,7.6,7021,78,Ready Player One,150000000.0,137690172.0,579290136.0,429290136,386.193424,"['Adventure', 'ScienceFiction']",Adventure,ScienceFiction,,,,,
1708,"['28', '14', '878', '12']",268896,30.019,2018-03-23,5.9,2213,50,Pacific Rim: Uprising,155000000.0,59874525.0,290930148.0,135930148,187.69686967741936,"['Action', 'Fantasy', 'ScienceFiction', 'Adventure']",Action,Fantasy,ScienceFiction,Adventure,,,
