,index,genre_ids,id_x,popularity,release_date_x,vote_average,vote_count,id_y,movie,production_budget,domestic_gross,worldwide_gross,profit,roi,genre,main_genre,subgenre_1,subgenre_2,subgenre_3,subgenre_4,subgenre_5,subgenre_6
0,0,"['14', '12', '16', '10751']",10191,28.734,2010-03-26,7.7,7610,30,How To Train Your Dragon,165000000.0,217581232.0,494870992.0,329870992,299.9218133333333,"['Fantasy', 'Adventure', 'Animation', 'Family']",Fantasy,Adventure,Animation,Family,,,
1,1,"['12', '28', '878']",10138,28.515,2010-05-07,6.8,12368,15,Iron Man 2,170000000.0,312433331.0,621156389.0,451156389,365.3861111764706,"['Adventure', 'Action', 'ScienceFiction']",Adventure,Action,ScienceFiction,,,,
2,2,"['16', '35', '10751']",862,28.005,1995-11-22,7.9,10174,37,Toy Story,30000000.0,191796233.0,364545516.0,334545516,1215.15172,"['Animation', 'Comedy', 'Family']",Animation,Comedy,Family,,,,
3,3,"['28', '878', '12']",27205,27.92,2010-07-16,8.3,22186,38,Inception,160000000.0,292576195.0,835524642.0,675524642,522.20290125,"['Action', 'ScienceFiction', 'Adventure']",Action,ScienceFiction,Adventure,,,,
4,4,"['12', '14', '10751']",32657,26.691,2010-02-11,6.1,4229,17,Percy Jackson & The Olympians: The Lightning Thief,95000000.0,88768303.0,223050874.0,128050874,234.79039368421053,"['Adventure', 'Fantasy', 'Family']",Adventure,Fantasy,Family,,,,
5,5,"['28', '12', '14', '878']",19995,26.526,2009-12-18,7.4,18676,1,Avatar,425000000.0,760507625.0,2776345279.0,-2147483648,653.2577127058823,"['Action', 'Adventure', 'Fantasy', 'ScienceFiction']",Action,Adventure,Fantasy,ScienceFiction,,,
6,6,"['16', '10751', '35']",10193,24.445,2010-06-17,7.7,8340,47,Toy Story 3,200000000.0,415004880.0,1068879522.0,868879522,534.439761,"['Animation', 'Family', 'Comedy']",Animation,Family,Comedy,,,,
7,7,"['16', '10751', '35']",20352,23.673,2010-07-09,7.2,10057,50,Despicable Me,69000000.0,251513985.0,543464573.0,474464573,787.6298159420289,"['Animation', 'Family', 'Comedy']",Animation,Family,Comedy,,,,
8,8,"['16', '28', '35', '10751', '878']",38055,22.855,2010-11-04,6.8,3635,47,Megamind,130000000.0,148415853.0,321887208.0,191887208,247.6055446153846,"['Animation', 'Action', 'Comedy', 'Family', 'ScienceFiction']",Animation,Action,Comedy,Family,ScienceFiction,,
9,9,"['16', '35', '10751']",863,22.698,1999-11-24,7.5,7553,40,Toy Story 2,90000000.0,245852179.0,511358276.0,421358276,568.1758622222222,"['Animation', 'Comedy', 'Family']",Animation,Comedy,Family,,,,
10,10,"['10751', '14', '12']",12155,22.02,2010-03-05,6.6,8713,51,Alice In Wonderland,200000000.0,334191110.0,1025491110.0,825491110,512.745555,"['Family', 'Fantasy', 'Adventure']",Family,Fantasy,Adventure,,,,
11,12,"['53', '12', '28']",27578,21.517,2010-08-03,6.1,4647,34,The Expendables,82000000.0,103068524.0,268268174.0,186268174,327.1563097560976,"['Thriller', 'Adventure', 'Action']",Thriller,Adventure,Action,,,,
12,13,"['16', '10751']",38757,21.511,2010-11-24,7.5,6407,15,Tangled,260000000.0,200821936.0,586477240.0,326477240,225.5681692307692,"['Animation', 'Family']",Animation,Family,,,,,
13,14,"['12', '14', '18', '10749']",24021,20.34,2010-06-23,6.0,4909,53,The Twilight Saga: Eclipse,68000000.0,300531751.0,706102828.0,638102828,1038.3865117647058,"['Adventure', 'Fantasy', 'Drama', 'Romance']",Adventure,Fantasy,Drama,Romance,,,
14,15,"['28', '53', '878']",20504,18.985,2010-01-11,6.7,3495,64,The Book Of Eli,80000000.0,94835059.0,158750817.0,78750817,198.43852125,"['Action', 'Thriller', 'ScienceFiction']",Action,Thriller,ScienceFiction,,,,
15,16,"['28', '18', '53']",2502,18.199,2004-07-23,7.3,4367,91,The Bourne Supremacy,85000000.0,176087450.0,311001124.0,226001124,365.88367529411767,"['Action', 'Drama', 'Thriller']",Action,Drama,Thriller,,,,
16,17,"['18', '53', '9648']",11324,18.06,2010-02-18,8.1,12625,52,Shutter Island,80000000.0,128012934.0,299461782.0,219461782,374.3272275,"['Drama', 'Thriller', 'Mystery']",Drama,Thriller,Mystery,,,,
17,18,"['28', '18', '9648', '53']",2501,17.935,2002-06-14,7.4,5406,51,The Bourne Identity,60000000.0,121468960.0,214357371.0,154357371,357.262285,"['Action', 'Drama', 'Mystery', 'Thriller']",Action,Drama,Mystery,Thriller,,,
18,19,"['28', '35']",37834,17.713,2010-06-23,6.0,2494,2,Knight And Day,117000000.0,76423035.0,258751370.0,141751370,221.15501709401707,"['Action', 'Comedy']",Action,Comedy,,,,,
19,20,"['12', '10751', '14']",10140,17.382,2010-12-10,6.3,3196,48,The Chronicles Of Narnia: The Voyage Of The Dawn Treader,155000000.0,104386950.0,418186950.0,263186950,269.7980322580645,"['Adventure', 'Family', 'Fantasy']",Adventure,Family,Fantasy,,,,
20,21,"['18', '10749']",41233,17.174,2010-08-06,6.7,1160,9,Step Up 3D,30000000.0,42400223.0,165889117.0,135889117,552.9637233333333,"['Drama', 'Romance']",Drama,Romance,,,,,
21,22,"['53', '28', '12', '35', '80']",34544,17.097,2010-06-11,6.3,2703,32,The A-Team,110000000.0,77222099.0,177241171.0,67241171,161.12833727272726,"['Thriller', 'Action', 'Adventure', 'Comedy', 'Crime']",Thriller,Action,Adventure,Comedy,Crime,,
22,23,"['28', '35', '80', '53']",9737,16.608,1995-04-07,6.6,2936,72,Bad Boys,23000000.0,65647413.0,141247413.0,118247413,614.1191869565217,"['Action', 'Comedy', 'Crime', 'Thriller']",Action,Comedy,Crime,Thriller,,,
24,25,"['28', '12', '10751', '14']",10196,16.595,2010-07-01,4.6,2143,83,The Last Airbender,150000000.0,131772187.0,319713881.0,169713881,213.14258733333327,"['Action', 'Adventure', 'Family', 'Fantasy']",Action,Adventure,Family,Fantasy,,,
25,26,"['28', '878', '12', '53']",34851,16.215999999999998,2010-07-03,6.1,1979,35,Predators,40000000.0,52000688.0,127234389.0,87234389,318.0859725,"['Action', 'ScienceFiction', 'Adventure', 'Thriller']",Action,ScienceFiction,Adventure,Thriller,,,
26,27,['18'],37799,15.889,2010-10-01,7.2,6116,91,The Social Network,40000000.0,96962694.0,224922135.0,184922135,562.3053375,['Drama'],Drama,,,,,,
27,28,"['18', '36']",568,15.855,1995-06-30,7.4,2821,75,Apollo 13,65000000.0,173772767.0,335802271.0,270802271,516.6188784615384,"['Drama', 'History']",Drama,History,,,,,
28,29,"['28', '53', '878', '12']",95,15.799,1998-07-01,6.7,4267,8,Armageddon,140000000.0,201578182.0,554600000.0,414600000,396.1428571428571,"['Action', 'Thriller', 'ScienceFiction', 'Adventure']",Action,Thriller,ScienceFiction,Adventure,,,
29,30,"['28', '18', '9648', '53']",2503,15.62,2007-08-03,7.4,4440,40,The Bourne Ultimatum,130000000.0,227471070.0,444043396.0,314043396,341.5718430769231,"['Action', 'Drama', 'Mystery', 'Thriller']",Action,Drama,Mystery,Thriller,,,
30,31,"['12', '14', '28']",18823,15.574000000000002,2010-04-02,5.7,3714,72,Clash Of The Titans,125000000.0,163214888.0,493214888.0,368214888,394.5719104,"['Adventure', 'Fantasy', 'Action']",Adventure,Fantasy,Action,,,,
31,32,"['35', '10749']",34806,15.49,2010-04-23,6.0,806,75,The Back-Up Plan,35000000.0,37490007.0,75281179.0,40281179,215.08908285714287,"['Comedy', 'Romance']",Comedy,Romance,,,,,
32,33,"['28', '12', '18']",20662,15.444,2010-05-14,6.3,2569,39,Robin Hood,210000000.0,105487148.0,322459006.0,112459006,153.55190761904765,"['Action', 'Adventure', 'Drama']",Action,Adventure,Drama,,,,
34,35,"['12', '28', '53']",375588,39.975,2018-11-21,5.8,1194,39,Robin Hood,210000000.0,105487148.0,322459006.0,112459006,153.55190761904765,"['Adventure', 'Action', 'Thriller']",Adventure,Action,Thriller,,,,
