Unnamed: 0,genre_ids,id_x,original_language,original_title,popularity,release_date_x,title,vote_average,vote_count,id_y,release_date_y,movie,production_budget,domestic_gross,worldwide_gross,profit,roi
1,"[14, 12, 16, 10751]",10191,en,How to Train Your Dragon,28.734,2010-03-26,How To Train Your Dragon,7.7,7610,30,"Mar 26, 2010",How To Train Your Dragon,165000000.0,217581232.0,494870992.0,329870992,299.9218133333333
2,"[12, 28, 878]",10138,en,Iron Man 2,28.515,2010-05-07,Iron Man 2,6.8,12368,15,"May 7, 2010",Iron Man 2,170000000.0,312433331.0,621156389.0,451156389,365.3861111764706
3,"[16, 35, 10751]",862,en,Toy Story,28.005,1995-11-22,Toy Story,7.9,10174,37,"Nov 22, 1995",Toy Story,30000000.0,191796233.0,364545516.0,334545516,1215.15172
4,"[28, 878, 12]",27205,en,Inception,27.92,2010-07-16,Inception,8.3,22186,38,"Jul 16, 2010",Inception,160000000.0,292576195.0,835524642.0,675524642,522.20290125
5,"[12, 14, 10751]",32657,en,Percy Jackson & the Olympians: The Lightning Thief,26.691,2010-02-11,Percy Jackson & The Olympians: The Lightning Thief,6.1,4229,17,"Feb 12, 2010",Percy Jackson & The Olympians: The Lightning Thief,95000000.0,88768303.0,223050874.0,128050874,234.79039368421053
6,"[28, 12, 14, 878]",19995,en,Avatar,26.526,2009-12-18,Avatar,7.4,18676,1,"Dec 18, 2009",Avatar,425000000.0,760507625.0,2776345279.0,-2147483648,653.2577127058823
7,"[16, 10751, 35]",10193,en,Toy Story 3,24.445,2010-06-17,Toy Story 3,7.7,8340,47,"Jun 18, 2010",Toy Story 3,200000000.0,415004880.0,1068879522.0,868879522,534.439761
8,"[16, 10751, 35]",20352,en,Despicable Me,23.673000000000002,2010-07-09,Despicable Me,7.2,10057,50,"Jul 9, 2010",Despicable Me,69000000.0,251513985.0,543464573.0,474464573,787.6298159420289
9,"[16, 28, 35, 10751, 878]",38055,en,Megamind,22.855,2010-11-04,Megamind,6.8,3635,47,"Nov 5, 2010",Megamind,130000000.0,148415853.0,321887208.0,191887208,247.6055446153846
10,"[16, 35, 10751]",863,en,Toy Story 2,22.698,1999-11-24,Toy Story 2,7.5,7553,40,"Nov 19, 1999",Toy Story 2,90000000.0,245852179.0,511358276.0,421358276,568.1758622222222
11,"[10751, 14, 12]",12155,en,Alice in Wonderland,22.02,2010-03-05,Alice In Wonderland,6.6,8713,51,"Mar 5, 2010",Alice In Wonderland,200000000.0,334191110.0,1025491110.0,825491110,512.745555
2081,[],423971,en,Alice in Wonderland,0.6,2010-01-01,Alice In Wonderland,6.0,1,51,"Mar 5, 2010",Alice In Wonderland,200000000.0,334191110.0,1025491110.0,825491110,512.745555
12,"[53, 12, 28]",27578,en,The Expendables,21.517,2010-08-03,The Expendables,6.1,4647,34,"Aug 13, 2010",The Expendables,82000000.0,103068524.0,268268174.0,186268174,327.1563097560976
13,"[16, 10751]",38757,en,Tangled,21.511,2010-11-24,Tangled,7.5,6407,15,"Nov 24, 2010",Tangled,260000000.0,200821936.0,586477240.0,326477240,225.5681692307692
15,"[12, 14, 18, 10749]",24021,en,The Twilight Saga: Eclipse,20.34,2010-06-23,The Twilight Saga: Eclipse,6.0,4909,53,"Jun 30, 2010",The Twilight Saga: Eclipse,68000000.0,300531751.0,706102828.0,638102828,1038.3865117647058
16,"[28, 53, 878]",20504,en,The Book of Eli,18.985,2010-01-11,The Book Of Eli,6.7,3495,64,"Jan 15, 2010",The Book Of Eli,80000000.0,94835059.0,158750817.0,78750817,198.43852125
18,"[28, 18, 53]",2502,en,The Bourne Supremacy,18.199,2004-07-23,The Bourne Supremacy,7.3,4367,91,"Jul 23, 2004",The Bourne Supremacy,85000000.0,176087450.0,311001124.0,226001124,365.88367529411767
19,"[18, 53, 9648]",11324,en,Shutter Island,18.06,2010-02-18,Shutter Island,8.1,12625,52,"Feb 19, 2010",Shutter Island,80000000.0,128012934.0,299461782.0,219461782,374.3272275
20,"[28, 18, 9648, 53]",2501,en,The Bourne Identity,17.935,2002-06-14,The Bourne Identity,7.4,5406,51,"Jun 14, 2002",The Bourne Identity,60000000.0,121468960.0,214357371.0,154357371,357.262285
21,"[28, 35]",37834,en,Knight and Day,17.713,2010-06-23,Knight And Day,6.0,2494,2,"Jun 23, 2010",Knight And Day,117000000.0,76423035.0,258751370.0,141751370,221.15501709401707
22,"[12, 10751, 14]",10140,en,The Chronicles of Narnia: The Voyage of the Dawn Treader,17.382,2010-12-10,The Chronicles Of Narnia: The Voyage Of The Dawn Treader,6.3,3196,48,"Dec 10, 2010",The Chronicles Of Narnia: The Voyage Of The Dawn Treader,155000000.0,104386950.0,418186950.0,263186950,269.7980322580645
23,"[18, 10749]",41233,en,Step Up 3D,17.174,2010-08-06,Step Up 3D,6.7,1160,9,"Aug 6, 2010",Step Up 3D,30000000.0,42400223.0,165889117.0,135889117,552.9637233333333
24,"[53, 28, 12, 35, 80]",34544,en,The A-Team,17.097,2010-06-11,The A-Team,6.3,2703,32,"Jun 11, 2010",The A-Team,110000000.0,77222099.0,177241171.0,67241171,161.12833727272726
26,"[28, 35, 80, 53]",9737,en,Bad Boys,16.608,1995-04-07,Bad Boys,6.6,2936,72,"Apr 7, 1995",Bad Boys,23000000.0,65647413.0,141247413.0,118247413,614.1191869565217
12086,[99],265330,en,Bad Boys,2.162,2014-04-17,Bad Boys,8.2,9,72,"Apr 7, 1995",Bad Boys,23000000.0,65647413.0,141247413.0,118247413,614.1191869565217
27,"[28, 12, 10751, 14]",10196,en,The Last Airbender,16.595,2010-07-01,The Last Airbender,4.6,2143,83,"Jul 1, 2010",The Last Airbender,150000000.0,131772187.0,319713881.0,169713881,213.14258733333332
28,"[28, 878, 12, 53]",34851,en,Predators,16.215999999999998,2010-07-03,Predators,6.1,1979,35,"Jul 9, 2010",Predators,40000000.0,52000688.0,127234389.0,87234389,318.08597249999997
29,[18],37799,en,The Social Network,15.889000000000001,2010-10-01,The Social Network,7.2,6116,91,"Oct 1, 2010",The Social Network,40000000.0,96962694.0,224922135.0,184922135,562.3053375
31,"[18, 36]",568,en,Apollo 13,15.855,1995-06-30,Apollo 13,7.4,2821,75,"Jun 30, 1995",Apollo 13,65000000.0,173772767.0,335802271.0,270802271,516.6188784615384
32,"[28, 53, 878, 12]",95,en,Armageddon,15.799000000000001,1998-07-01,Armageddon,6.7,4267,8,"Jul 1, 1998",Armageddon,140000000.0,201578182.0,554600000.0,414600000,396.1428571428571
33,"[28, 18, 9648, 53]",2503,en,The Bourne Ultimatum,15.62,2007-08-03,The Bourne Ultimatum,7.4,4440,40,"Aug 3, 2007",The Bourne Ultimatum,130000000.0,227471070.0,444043396.0,314043396,341.5718430769231
34,"[12, 14, 28]",18823,en,Clash of the Titans,15.574000000000002,2010-04-02,Clash Of The Titans,5.7,3714,72,"Apr 1, 2010",Clash Of The Titans,125000000.0,163214888.0,493214888.0,368214888,394.57191040000004
35,"[35, 10749]",34806,en,The Back-Up Plan,15.49,2010-04-23,The Back-Up Plan,6.0,806,75,"Apr 23, 2010",The Back-Up Plan,35000000.0,37490007.0,75281179.0,40281179,215.08908285714287
36,"[28, 12, 18]",20662,en,Robin Hood,15.444,2010-05-14,Robin Hood,6.3,2569,39,"May 14, 2010",Robin Hood,210000000.0,105487148.0,322459006.0,112459006,153.55190761904763
9814,"[12, 16, 10751]",114612,en,Storybook Classics - Robin Hood,0.68,2013-01-31,Robin Hood,5.7,3,39,"May 14, 2010",Robin Hood,210000000.0,105487148.0,322459006.0,112459006,153.55190761904763
23822,"[12, 28, 53]",375588,en,Robin Hood,39.975,2018-11-21,Robin Hood,5.8,1194,39,"May 14, 2010",Robin Hood,210000000.0,105487148.0,322459006.0,112459006,153.55190761904763
37,"[35, 14, 10751]",35019,en,Nanny McPhee and the Big Bang,15.213,2010-08-20,Nanny Mcphee And The Big Bang,6.1,953,93,"Aug 20, 2010",Nanny Mcphee And The Big Bang,35000000.0,29197642.0,97799865.0,62799865,279.4281857142857
38,"[35, 12, 14, 16, 10751]",10192,en,Shrek Forever After,15.040999999999999,2010-05-16,Shrek Forever After,6.1,3843,27,"May 21, 2010",Shrek Forever After,165000000.0,238736787.0,756244673.0,591244673,458.3301048484849
39,[35],37735,en,Easy A,14.69,2010-09-17,Easy A,6.8,4168,67,"Sep 17, 2010",Easy A,8000000.0,58401464.0,76200721.0,68200721,952.5090125
40,"[14, 12, 28, 35, 18]",27022,en,The Sorcerer's Apprentice,14.463,2010-07-13,The Sorcerer'S Apprentice,5.9,2879,44,"Jul 14, 2010",The Sorcerer'S Apprentice,160000000.0,63150991.0,217986320.0,57986320,136.24145000000001
41,"[28, 35, 10749]",22538,en,Scott Pilgrim vs. the World,14.383,2010-08-13,Scott Pilgrim Vs. The World,7.3,3882,22,"Aug 13, 2010",Scott Pilgrim Vs. The World,85000000.0,31611316.0,48056764.0,-36943236,56.5373694117647
42,[35],38365,en,Grown Ups,14.290999999999999,2010-06-24,Grown Ups,6.1,3171,34,"Jun 25, 2010",Grown Ups,75000000.0,162001186.0,272223430.0,197223430,362.9645733333333
43,"[35, 10749]",239,en,Some Like It Hot,14.2,1959-03-18,Some Like It Hot,8.2,1562,82,"Mar 29, 1959",Some Like It Hot,2883848.0,25000000.0,25019542.0,22135694,867.5749207309123
22310,[35],433605,zh,情圣,1.263,2017-01-13,Some Like It Hot,8.0,2,82,"Mar 29, 1959",Some Like It Hot,2883848.0,25000000.0,25019542.0,22135694,867.5749207309123
44,"[80, 18, 28, 53]",41283,en,Faster,14.172,2010-11-23,Faster,6.2,895,53,"Nov 24, 2010",Faster,24000000.0,23240020.0,35792945.0,11792945,149.13727083333333
45,[27],7978,en,The Wolfman,14.03,2010-02-12,The Wolfman,5.7,1009,91,"Feb 12, 2010",The Wolfman,150000000.0,62189884.0,142634358.0,-7365642,95.089572
46,"[28, 53]",44048,en,Unstoppable,14.01,2010-11-12,Unstoppable,6.4,1913,19,"Nov 12, 2010",Unstoppable,95000000.0,81562942.0,165720921.0,70720921,174.4430747368421
10970,[99],217664,en,Unstoppable,0.6,2013-09-24,Unstoppable,1.6,4,19,"Nov 12, 2010",Unstoppable,95000000.0,81562942.0,165720921.0,70720921,174.4430747368421
47,"[18, 53]",44214,en,Black Swan,13.745,2010-12-03,Black Swan,7.6,8374,46,"Dec 3, 2010",Black Swan,13000000.0,106954678.0,331266710.0,318266710,2548.205461538462
50,"[12, 28, 18]",23759,en,Centurion,13.548,2010-02-15,Centurion,6.1,673,46,"Aug 27, 2010",Centurion,15000000.0,123570.0,7885048.0,-7114952,52.56698666666667
51,"[28, 35, 80]",27581,en,The Other Guys,13.508,2010-08-06,The Other Guys,6.2,2187,74,"Aug 6, 2010",The Other Guys,100000000.0,119219978.0,170936470.0,70936470,170.93647
52,"[80, 18, 53]",23168,en,The Town,13.475999999999999,2010-09-17,The Town,7.1,2386,92,"Sep 17, 2010",The Town,37000000.0,92186262.0,152566881.0,115566881,412.3429216216216
53,"[28, 37, 18, 14, 53]",20533,en,Jonah Hex,13.467,2010-06-18,Jonah Hex,4.6,708,40,"Jun 18, 2010",Jonah Hex,47000000.0,10547117.0,11022696.0,-35977304,23.452544680851066
54,"[12, 28, 878]",20526,en,TRON: Legacy,13.459000000000001,2010-12-10,Tron: Legacy,6.3,4387,58,"Dec 17, 2010",Tron: Legacy,200000000.0,172062763.0,400062763.0,200062763,200.0313815
57,"[14, 18]",7980,en,The Lovely Bones,13.285,2010-01-15,The Lovely Bones,6.8,2226,22,"Dec 11, 2009",The Lovely Bones,95000000.0,44114232.0,94894448.0,-105552,99.88889263157895
59,"[18, 12, 37]",44264,en,True Grit,13.118,2010-12-22,True Grit,7.2,2816,29,"Dec 22, 2010",True Grit,35000000.0,171243005.0,252276928.0,217276928,720.7912228571429
60,"[53, 80, 27]",43947,en,I Spit on Your Grave,13.102,2010-10-08,I Spit On Your Grave,6.3,977,37,"Oct 8, 2010",I Spit On Your Grave,1750000.0,93051.0,1278471.0,-471529,73.05548571428572
61,"[28, 80]",23483,en,Kick-Ass,13.08,2010-04-16,Kick-Ass,7.1,7540,54,"Apr 16, 2010",Kick-Ass,28000000.0,48071303.0,97531134.0,69531134,348.32547857142856
63,"[28, 9648, 53]",27576,en,Salt,13.025,2010-07-23,Salt,6.3,3240,50,"Jul 23, 2010",Salt,130000000.0,118311368.0,290650494.0,160650494,223.57730307692307
6948,"[53, 80]",56893,en,Salt,0.632,2012-08-06,Salt,1.0,1,50,"Jul 23, 2010",Salt,130000000.0,118311368.0,290650494.0,160650494,223.57730307692307
65,"[28, 80, 53]",26389,en,From Paris with Love,12.862,2010-02-05,From Paris With Love,6.2,1075,75,"Feb 5, 2010",From Paris With Love,52000000.0,24077427.0,53139168.0,1139168,102.1907076923077
68,"[35, 10751, 14]",23023,en,Tooth Fairy,12.65,2010-01-22,Tooth Fairy,5.3,1058,23,"Jan 22, 2010",Tooth Fairy,48000000.0,60022256.0,112610386.0,64610386,234.6049708333333
69,"[28, 35, 53]",23631,en,Machete,12.557,2010-09-03,Machete,6.3,1862,18,"Sep 3, 2010",Machete,12500000.0,26593646.0,46370970.0,33870970,370.96776
71,[35],35056,en,Date Night,12.498,2010-04-08,Date Night,6.0,1743,99,"Apr 9, 2010",Date Night,55000000.0,98711404.0,152269033.0,97269033,276.8527872727273
72,"[35, 18]",41733,en,Due Date,12.445,2010-11-04,Due Date,6.3,2973,84,"Nov 5, 2010",Due Date,65000000.0,100539043.0,211739043.0,146739043,325.75237384615383
73,"[28, 878, 53, 80]",31867,en,Repo Men,12.437000000000001,2010-03-19,Repo Men,6.2,976,13,"Mar 19, 2010",Repo Men,32000000.0,13942007.0,18195238.0,-13804762,56.86011875
76,"[28, 12, 18, 10751]",38575,en,The Karate Kid,12.255999999999998,2010-06-10,The Karate Kid,6.3,3140,77,"Jun 11, 2010",The Karate Kid,40000000.0,176591618.0,351774938.0,311774938,879.437345
