,index,genre_ids,id_x,popularity,release_date_x,vote_average,vote_count,id_y,movie,production_budget,domestic_gross,worldwide_gross,profit,roi,release_year,genre,main_genre,genre2,genre3,genre4,genre5,genre6,genre7,release_month
0,0,"['14', '12', '16', '10751']",10191,28.734,2010-03-26,7.7,7610,30,How To Train Your Dragon,165.0,217581232.0,494870992.0,329.870992,299.9218133333333,2010,"['Fantasy', 'Adventure', 'Animation', 'Family']",Fantasy,Adventure,Animation,Family,,,,3
1,1,"['12', '28', '878']",10138,28.515,2010-05-07,6.8,12368,15,Iron Man 2,170.0,312433331.0,621156389.0,451.156389,365.3861111764706,2010,"['Adventure', 'Action', 'ScienceFiction']",Adventure,Action,ScienceFiction,,,,,5
2,3,"['28', '878', '12']",27205,27.92,2010-07-16,8.3,22186,38,Inception,160.0,292576195.0,835524642.0,675.524642,522.20290125,2010,"['Action', 'ScienceFiction', 'Adventure']",Action,ScienceFiction,Adventure,,,,,7
3,4,"['12', '14', '10751']",32657,26.691,2010-02-11,6.1,4229,17,Percy Jackson & The Olympians: The Lightning Thief,95.0,88768303.0,223050874.0,128.050874,234.79039368421053,2010,"['Adventure', 'Fantasy', 'Family']",Adventure,Fantasy,Family,,,,,2
4,6,"['16', '10751', '35']",10193,24.445,2010-06-17,7.7,8340,47,Toy Story 3,200.0,415004880.0,1068879522.0,868.879522,534.439761,2010,"['Animation', 'Family', 'Comedy']",Animation,Family,Comedy,,,,,6
5,7,"['16', '10751', '35']",20352,23.673,2010-07-09,7.2,10057,50,Despicable Me,69.0,251513985.0,543464573.0,474.464573,787.6298159420289,2010,"['Animation', 'Family', 'Comedy']",Animation,Family,Comedy,,,,,7
6,8,"['16', '28', '35', '10751', '878']",38055,22.855,2010-11-04,6.8,3635,47,Megamind,130.0,148415853.0,321887208.0,191.887208,247.6055446153846,2010,"['Animation', 'Action', 'Comedy', 'Family', 'ScienceFiction']",Animation,Action,Comedy,Family,ScienceFiction,,,11
7,10,"['10751', '14', '12']",12155,22.02,2010-03-05,6.6,8713,51,Alice In Wonderland,200.0,334191110.0,1025491110.0,825.49111,512.745555,2010,"['Family', 'Fantasy', 'Adventure']",Family,Fantasy,Adventure,,,,,3
8,12,"['53', '12', '28']",27578,21.517,2010-08-03,6.1,4647,34,The Expendables,82.0,103068524.0,268268174.0,186.268174,327.1563097560976,2010,"['Thriller', 'Adventure', 'Action']",Thriller,Adventure,Action,,,,,8
9,13,"['16', '10751']",38757,21.511,2010-11-24,7.5,6407,15,Tangled,260.0,200821936.0,586477240.0,326.47724,225.5681692307692,2010,"['Animation', 'Family']",Animation,Family,,,,,,11
10,14,"['12', '14', '18', '10749']",24021,20.34,2010-06-23,6.0,4909,53,The Twilight Saga: Eclipse,68.0,300531751.0,706102828.0,638.102828,1038.3865117647058,2010,"['Adventure', 'Fantasy', 'Drama', 'Romance']",Adventure,Fantasy,Drama,Romance,,,,6
11,15,"['28', '53', '878']",20504,18.985,2010-01-11,6.7,3495,64,The Book Of Eli,80.0,94835059.0,158750817.0,78.750817,198.43852125,2010,"['Action', 'Thriller', 'ScienceFiction']",Action,Thriller,ScienceFiction,,,,,1
12,17,"['18', '53', '9648']",11324,18.06,2010-02-18,8.1,12625,52,Shutter Island,80.0,128012934.0,299461782.0,219.461782,374.3272275,2010,"['Drama', 'Thriller', 'Mystery']",Drama,Thriller,Mystery,,,,,2
13,19,"['28', '35']",37834,17.713,2010-06-23,6.0,2494,2,Knight And Day,117.0,76423035.0,258751370.0,141.75137,221.15501709401707,2010,"['Action', 'Comedy']",Action,Comedy,,,,,,6
14,20,"['12', '10751', '14']",10140,17.382,2010-12-10,6.3,3196,48,The Chronicles Of Narnia: The Voyage Of The Dawn Treader,155.0,104386950.0,418186950.0,263.18695,269.7980322580645,2010,"['Adventure', 'Family', 'Fantasy']",Adventure,Family,Fantasy,,,,,12
15,21,"['18', '10749']",41233,17.174,2010-08-06,6.7,1160,9,Step Up 3D,30.0,42400223.0,165889117.0,135.889117,552.9637233333333,2010,"['Drama', 'Romance']",Drama,Romance,,,,,,8
16,22,"['53', '28', '12', '35', '80']",34544,17.097,2010-06-11,6.3,2703,32,The A-Team,110.0,77222099.0,177241171.0,67.241171,161.12833727272726,2010,"['Thriller', 'Action', 'Adventure', 'Comedy', 'Crime']",Thriller,Action,Adventure,Comedy,Crime,,,6
17,25,"['28', '12', '10751', '14']",10196,16.595,2010-07-01,4.6,2143,83,The Last Airbender,150.0,131772187.0,319713881.0,169.713881,213.14258733333327,2010,"['Action', 'Adventure', 'Family', 'Fantasy']",Action,Adventure,Family,Fantasy,,,,7
18,26,"['28', '878', '12', '53']",34851,16.215999999999998,2010-07-03,6.1,1979,35,Predators,40.0,52000688.0,127234389.0,87.234389,318.0859725,2010,"['Action', 'ScienceFiction', 'Adventure', 'Thriller']",Action,ScienceFiction,Adventure,Thriller,,,,7
19,27,['18'],37799,15.889,2010-10-01,7.2,6116,91,The Social Network,40.0,96962694.0,224922135.0,184.922135,562.3053375,2010,['Drama'],Drama,,,,,,,10
20,31,"['12', '14', '28']",18823,15.574000000000002,2010-04-02,5.7,3714,72,Clash Of The Titans,125.0,163214888.0,493214888.0,368.214888,394.5719104,2010,"['Adventure', 'Fantasy', 'Action']",Adventure,Fantasy,Action,,,,,4
21,32,"['35', '10749']",34806,15.49,2010-04-23,6.0,806,75,The Back-Up Plan,35.0,37490007.0,75281179.0,40.281179,215.08908285714287,2010,"['Comedy', 'Romance']",Comedy,Romance,,,,,,4
22,33,"['28', '12', '18']",20662,15.444,2010-05-14,6.3,2569,39,Robin Hood,210.0,105487148.0,322459006.0,112.459006,153.55190761904765,2010,"['Action', 'Adventure', 'Drama']",Action,Adventure,Drama,,,,,5
23,35,"['12', '28', '53']",375588,39.975,2018-11-21,5.8,1194,39,Robin Hood,210.0,105487148.0,322459006.0,112.459006,153.55190761904765,2018,"['Adventure', 'Action', 'Thriller']",Adventure,Action,Thriller,,,,,11
24,36,"['35', '14', '10751']",35019,15.213,2010-08-20,6.1,953,93,Nanny Mcphee And The Big Bang,35.0,29197642.0,97799865.0,62.799865,279.4281857142857,2010,"['Comedy', 'Fantasy', 'Family']",Comedy,Fantasy,Family,,,,,8
25,37,"['35', '12', '14', '16', '10751']",10192,15.041,2010-05-16,6.1,3843,27,Shrek Forever After,165.0,238736787.0,756244673.0,591.244673,458.3301048484849,2010,"['Comedy', 'Adventure', 'Fantasy', 'Animation', 'Family']",Comedy,Adventure,Fantasy,Animation,Family,,,5
26,38,['35'],37735,14.69,2010-09-17,6.8,4168,67,Easy A,8.0,58401464.0,76200721.0,68.200721,952.5090125,2010,['Comedy'],Comedy,,,,,,,9
27,39,"['14', '12', '28', '35', '18']",27022,14.463,2010-07-13,5.9,2879,44,The Sorcerer'S Apprentice,160.0,63150991.0,217986320.0,57.98632,136.24145,2010,"['Fantasy', 'Adventure', 'Action', 'Comedy', 'Drama']",Fantasy,Adventure,Action,Comedy,Drama,,,7
28,40,"['28', '35', '10749']",22538,14.383,2010-08-13,7.3,3882,22,Scott Pilgrim Vs. The World,85.0,31611316.0,48056764.0,-36.943236,56.5373694117647,2010,"['Action', 'Comedy', 'Romance']",Action,Comedy,Romance,,,,,8
29,41,['35'],38365,14.291,2010-06-24,6.1,3171,34,Grown Ups,75.0,162001186.0,272223430.0,197.22343,362.9645733333333,2010,['Comedy'],Comedy,,,,,,,6
30,44,"['80', '18', '28', '53']",41283,14.172,2010-11-23,6.2,895,53,Faster,24.0,23240020.0,35792945.0,11.792945,149.13727083333333,2010,"['Crime', 'Drama', 'Action', 'Thriller']",Crime,Drama,Action,Thriller,,,,11
31,45,['27'],7978,14.03,2010-02-12,5.7,1009,91,The Wolfman,150.0,62189884.0,142634358.0,-7.365642,95.089572,2010,['Horror'],Horror,,,,,,,2
32,46,"['28', '53']",44048,14.01,2010-11-12,6.4,1913,19,Unstoppable,95.0,81562942.0,165720921.0,70.720921,174.4430747368421,2010,"['Action', 'Thriller']",Action,Thriller,,,,,,11
33,48,"['18', '53']",44214,13.745,2010-12-03,7.6,8374,46,Black Swan,13.0,106954678.0,331266710.0,318.26671,2548.205461538462,2010,"['Drama', 'Thriller']",Drama,Thriller,,,,,,12
34,49,"['12', '28', '18']",23759,13.548,2010-02-15,6.1,673,46,Centurion,15.0,123570.0,7885048.0,-7.114952,52.56698666666667,2010,"['Adventure', 'Action', 'Drama']",Adventure,Action,Drama,,,,,2
35,50,"['28', '35', '80']",27581,13.508,2010-08-06,6.2,2187,74,The Other Guys,100.0,119219978.0,170936470.0,70.93647,170.93647,2010,"['Action', 'Comedy', 'Crime']",Action,Comedy,Crime,,,,,8
36,51,"['80', '18', '53']",23168,13.476,2010-09-17,7.1,2386,92,The Town,37.0,92186262.0,152566881.0,115.566881,412.3429216216216,2010,"['Crime', 'Drama', 'Thriller']",Crime,Drama,Thriller,,,,,9
37,52,"['28', '37', '18', '14', '53']",20533,13.467,2010-06-18,4.6,708,40,Jonah Hex,47.0,10547117.0,11022696.0,-35.977304,23.452544680851062,2010,"['Action', 'Western', 'Drama', 'Fantasy', 'Thriller']",Action,Western,Drama,Fantasy,Thriller,,,6
38,53,"['12', '28', '878']",20526,13.459,2010-12-10,6.3,4387,58,Tron: Legacy,200.0,172062763.0,400062763.0,200.062763,200.0313815,2010,"['Adventure', 'Action', 'ScienceFiction']",Adventure,Action,ScienceFiction,,,,,12
39,54,"['14', '18']",7980,13.285,2010-01-15,6.8,2226,22,The Lovely Bones,95.0,44114232.0,94894448.0,-0.105552,99.88889263157895,2010,"['Fantasy', 'Drama']",Fantasy,Drama,,,,,,1
40,55,"['18', '12', '37']",44264,13.118,2010-12-22,7.2,2816,29,True Grit,35.0,171243005.0,252276928.0,217.276928,720.7912228571429,2010,"['Drama', 'Adventure', 'Western']",Drama,Adventure,Western,,,,,12
41,56,"['53', '80', '27']",43947,13.102,2010-10-08,6.3,977,37,I Spit On Your Grave,1.75,93051.0,1278471.0,-0.471529,73.05548571428572,2010,"['Thriller', 'Crime', 'Horror']",Thriller,Crime,Horror,,,,,10
42,57,"['28', '80']",23483,13.08,2010-04-16,7.1,7540,54,Kick-Ass,28.0,48071303.0,97531134.0,69.531134,348.32547857142856,2010,"['Action', 'Crime']",Action,Crime,,,,,,4
43,58,"['28', '9648', '53']",27576,13.025,2010-07-23,6.3,3240,50,Salt,130.0,118311368.0,290650494.0,160.650494,223.57730307692307,2010,"['Action', 'Mystery', 'Thriller']",Action,Mystery,Thriller,,,,,7
44,60,"['28', '80', '53']",26389,12.862,2010-02-05,6.2,1075,75,From Paris With Love,52.0,24077427.0,53139168.0,1.139168,102.1907076923077,2010,"['Action', 'Crime', 'Thriller']",Action,Crime,Thriller,,,,,2
45,61,"['35', '10751', '14']",23023,12.65,2010-01-22,5.3,1058,23,Tooth Fairy,48.0,60022256.0,112610386.0,64.610386,234.6049708333333,2010,"['Comedy', 'Family', 'Fantasy']",Comedy,Family,Fantasy,,,,,1
